"Date","RTK_ttl","RTK_domestic","RTK_internal","RTK_regional"
2019-01-01,"2066.235","1104.6","884.6","77.1"
2019-02-01,"1895.1","1066.7","755.5","72.9"
2019-03-01,"2117.2","1132.9","907.4","77"
2019-04-01,"2123.7","1101","941.3","81.4"
2019-05-01,"2151.8","1120.1","950.8","80.9"
2019-06-01,"2071.3","1085.2","907.2","78.9"
2019-07-01,"2189","1182.2","925.6","81.3"
2019-08-01,"2238","1219.7","945.1","73.1"
2019-09-01,"2097.1","1161","880.3","55.8"
2019-10-01,"2176","1208.6","907.4","59.9"
2019-11-01,"2070.6","1152.9","861.4","56.3"
2019-12-01,"2117.8","1172","885.6","60.2"
2020-01-01,"1999.2","1098","841.7","59.5"
2020-02-01,"439.4","195.2","238.2","6"
2020-03-01,"630.6","442.7","183.9","4"
2020-04-01,"557.1","419.7","135.5","1.9"
2020-05-01,"833.5","605.1","226.4","2"
2020-06-01,"895","664.8","227.6","2.6"
2020-07-01,"1062.7","833.2","227.1","2.5"
2020-08-01,"1239.1","1027.1","208.9","3.1"
2020-09-01,"1398.1","1165.2","228.8","4.1"
2020-10-01,"1505.6","1232.4","263.4","9.8"
2020-11-01,"1441.9","1128.3","302.4","11.2"
2020-12-01,"1278.3","1028.3","236.7","13.3"
2021-01-01,"910.9","683.8","217.6","9.6"
2021-02-01,"741.1","533.1","201.6","6.3"
2021-03-01,"1417.7","1131.5","272.2","13.9"
2021-04-01,"1523.8","1227.5","277.1","19.2"
2021-05-01,"1497","1209.9","265.4","21.8"
2021-06-01,"1172.6","904.6","247.8","20.2"
2021-07-01,"1380.2","1102.8","253.3","24"
2021-08-01,"784.1","509.6","266.4","8.1"
2021-09-01,"1126.1","852.1","261.4","12.7"
2021-10-01,"1256.3","964.3","285.5","6.4"
2021-11-01,"810.3","494.8","307.8","7.6"
2021-12-01,"965.4","658.8","292.2","14.4"
2022-01-01,"966.3","678.7","271.4","16.2"
2022-02-01,"872.2","649.4","207.5","15.3"
2022-03-01,"705.1","375.6","320.2","9.3"
2022-04-01,"550.2","235.5","307.7","7"
2022-05-01,"612.5","309.2","297.8","5.5"
